Gulf Location (3),State/TX divided,Bay,Latitude,Longitude,Tidal Zone,Havest or not,Havest Pressure,Height (mm),Length (mm),Width (mm),Volume (mL),Wet Tissue Weight (g),Wet Shell Weight (g),Wet Whole Weight (g),Fan (L/H) ratio,Cup (W/H) ratio,V/H ratio,Weight ratio (tissue/shell)
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,74,68,37,70.2,14.9,128,142.9,0.918918919,0.5,0.948648649,0.11640625
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,91,54,32,63,12.49,120.68,133.17,0.593406593,0.351648352,0.692307692,0.103496851
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,85,64,37,72,11.19,126.25,137.44,0.752941176,0.435294118,0.847058824,0.088633663
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,56,52,35,40.2,6.37,76.19,82.56,0.928571429,0.625,0.717857143,0.083606773
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,64,56,31,39.8,7.78,68.62,76.4,0.875,0.484375,0.621875,0.113378024
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,61,38,21,22.4,5.22,40.08,45.3,0.62295082,0.344262295,0.367213115,0.130239521
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,107,77,38,118.8,22.12,198.17,220.29,0.719626168,0.355140187,1.110280374,0.111621335
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,124,77,42,125.8,22.83,207.89,230.72,0.620967742,0.338709677,1.014516129,0.109817692
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,118,71,38,124.8,25.15,172.83,197.98,0.601694915,0.322033898,1.057627119,0.145518718
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,107,80,42,108.2,18.75,186.32,205.07,0.747663551,0.392523364,1.011214953,0.100633319
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,103,72,36,100,16.1,179.43,195.53,0.699029126,0.349514563,0.970873786,0.089728585
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,95,74,41,102,17.9,185.2,203.1,0.778947368,0.431578947,1.073684211,0.096652268
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,99,74,38,95.6,12.88,187.23,200.11,0.747474747,0.383838384,0.965656566,0.068792394
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,97,80,42,103.8,22.01,178.01,200.02,0.824742268,0.432989691,1.070103093,0.123644739
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,100,83,37,108.6,18.17,188.19,206.36,0.83,0.37,1.086,0.096551358
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,101,66,50,113.2,22.93,182.35,205.28,0.653465347,0.495049505,1.120792079,0.125747189
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,94,57,37,87.6,16.18,158,174.18,0.606382979,0.393617021,0.931914894,0.102405063
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,91,58,30,72.4,,149.2,149.2,0.637362637,0.32967033,0.795604396,
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,89,50,33,78,16.51,136.2,152.71,0.561797753,0.370786517,0.876404494,0.121218796
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,90,61,36,74.6,13.05,153.68,166.73,0.677777778,0.4,0.828888889,0.08491671
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,85,67,36,83.4,16.07,143.88,159.95,0.788235294,0.423529412,0.981176471,0.111690297
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,88,75,39,92,22.1,161.05,183.15,0.852272727,0.443181818,1.045454545,0.137224464
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,101,66,37,91.4,12.56,184.8,197.36,0.653465347,0.366336634,0.904950495,0.067965368
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,101,69,39,87.6,16.75,136.54,153.29,0.683168317,0.386138614,0.867326733,0.122674674
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,94,68,41,100,24.2,154.82,179.02,0.723404255,0.436170213,1.063829787,0.156310554
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,94,69,35,74,17.25,96.37,113.62,0.734042553,0.372340426,0.787234043,0.178997613
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,86,74,37,88.2,18.28,155.31,173.59,0.860465116,0.430232558,1.025581395,0.117700084
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,89,64,45,91.6,18.19,162.88,181.07,0.719101124,0.505617978,1.029213483,0.111677308
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,86,69,39,88.6,16.4,157.75,174.15,0.802325581,0.453488372,1.030232558,0.103961965
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,84,67,37,81.6,14.64,153.86,168.5,0.797619048,0.44047619,0.971428571,0.095151436
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,82,61,24,58.6,13.81,98.17,111.98,0.743902439,0.292682927,0.714634146,0.14067434
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,84,59,28,61.8,11.77,112.4,124.17,0.702380952,0.333333333,0.735714286,0.104715302
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,84,73,35,81.8,20.44,126.81,147.25,0.869047619,0.416666667,0.973809524,0.161186026
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,81,71,42,73,12.62,138.95,151.57,0.87654321,0.518518519,0.901234568,0.090824037
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,77,62,23,47.4,9.25,86.01,95.26,0.805194805,0.298701299,0.615584416,0.107545634
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,86,53,23,48.4,13.59,67.84,81.43,0.61627907,0.26744186,0.562790698,0.200324292
Northern,AL,Mississippi Sound,30.30344444,-88.16108333,Subtidal,Yes,,96,69,39,104.8,18.95,183.84,202.79,0.71875,0.40625,1.091666667,0.103078764
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,99,65,36,87.6,13.21,172,185.21,0.656565657,0.363636364,0.884848485,0.076802326
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,82,64,34,62.6,11.06,129.46,140.52,0.780487805,0.414634146,0.763414634,0.085431794
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,82,63,34,70.6,13.93,128.47,142.4,0.768292683,0.414634146,0.86097561,0.108429984
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,83,56,39,71.4,10.28,133.21,143.49,0.674698795,0.469879518,0.860240964,0.077171384
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,79,63,33,59,9.45,116.59,126.04,0.797468354,0.417721519,0.746835443,0.081053264
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,91,64,34,77.4,10.7,135.41,146.11,0.703296703,0.373626374,0.850549451,0.079019275
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,83,62,32,60.8,10.18,113.4,123.58,0.746987952,0.385542169,0.73253012,0.089770723
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,80,58,35,65.6,9.28,120.85,130.13,0.725,0.4375,0.82,0.076789408
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,72,63,30,50,7.01,97.8,104.81,0.875,0.416666667,0.694444444,0.071676892
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,71,52,36,60.6,8.91,111.48,120.39,0.732394366,0.507042254,0.853521127,0.07992465
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,67,50,25,32.2,5.25,69.16,74.41,0.746268657,0.373134328,0.480597015,0.075910931
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,79,61,26,50,7.12,92.2,99.32,0.772151899,0.329113924,0.632911392,0.077223427
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,62,56,30,34.6,4.75,71.29,76.04,0.903225806,0.483870968,0.558064516,0.066629261
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,70,52,34,50.4,7.96,100.71,108.67,0.742857143,0.485714286,0.72,0.079038824
Northern,TX-Upper,Aransas Bay,28.058367,-96.955935,Subtidal,Yes,,71,54,32,50,6.85,96.2,103.05,0.76056338,0.450704225,0.704225352,0.071205821
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,113,75,54,200,31.86,297.08,328.94,0.663716814,0.477876106,1.769911504,0.10724384
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,99,69,51,11.2,19.33,194.24,213.57,0.696969697,0.515151515,0.113131313,0.099516063
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,98,75,38,102.8,19.98,183.66,203.64,0.765306122,0.387755102,1.048979592,0.108787978
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,98,67,38,90,16.6,177.36,193.96,0.683673469,0.387755102,0.918367347,0.093594948
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,74,79,55,110.6,19.99,178.01,198,1.067567568,0.743243243,1.494594595,0.112297062
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,91,75,39,100,17.42,172.3,189.72,0.824175824,0.428571429,1.098901099,0.101102728
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,98,63,34,84.8,12.89,161.44,174.33,0.642857143,0.346938776,0.865306122,0.079843905
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,75,55,27,36,9.55,72.17,81.72,0.733333333,0.36,0.48,0.132326451
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,67,67,27,44.6,11.19,72.43,83.62,1,0.402985075,0.665671642,0.154493994
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,82,44,21,39.8,7.48,75.52,83,0.536585366,0.256097561,0.485365854,0.09904661
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,62,54,30,43.4,7.46,83.5,90.96,0.870967742,0.483870968,0.7,0.089341317
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,53,44,18,15.8,3.11,25.74,28.85,0.830188679,0.339622642,0.298113208,0.120823621
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,40,28,10,5.4,1.43,8.7,10.13,0.7,0.25,0.135,0.164367816
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,27,28,5,3.8,0.15,3.79,3.94,1.037037037,0.185185185,0.140740741,0.039577836
Northern,TX-Upper,Galveston Bay,29.535,-94.88333333,Subtidal,Yes,,28,26,7,2,0.54,4.35,4.89,0.928571429,0.25,0.071428571,0.124137931
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,107,71,42,200,25.29,261.77,287.06,0.663551402,0.392523364,1.869158879,0.096611529
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,98,75,48,163.2,16.14,260.02,276.16,0.765306122,0.489795918,1.665306122,0.062072148
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,112,61,41,154.2,23.92,280.31,304.23,0.544642857,0.366071429,1.376785714,0.085334094
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,100,65,48,129.2,22.57,212,234.57,0.65,0.48,1.292,0.106462264
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,94,69,58,126.4,22.08,206.88,228.96,0.734042553,0.617021277,1.344680851,0.106728538
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,93,62,39,80.4,13.12,153.7,166.82,0.666666667,0.419354839,0.864516129,0.085361093
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,92,72,37,73.8,13.35,147.98,161.33,0.782608696,0.402173913,0.802173913,0.090214894
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,79,71,43,82.8,16.1,151.17,167.27,0.898734177,0.544303797,1.048101266,0.106502613
Northern,TX-Upper,Galveston Bay,29.53805556,-94.88555556,Subtidal,Yes,,60,48,33,33.4,6.6,58.87,65.47,0.8,0.55,0.556666667,0.112111432
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,56,47,,,5.36,,,0.839285714,,,
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,51,27,18,,2.95,,,0.529411765,0.352941176,,
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,63,41,20,,7.33,,,0.650793651,0.317460317,,
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,48,36,19,,2.07,12.23,14.3,0.75,0.395833333,,0.169255928
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,50,39,,,0.75,,,0.78,,,
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,82,49,,,10.29,,,0.597560976,,,
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,55,48,23,20,4.33,36.17,40.5,0.872727273,0.418181818,0.363636364,0.119712469
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,42,32,,,3.66,,,0.761904762,,,
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,29,31,,,0.7,,,1.068965517,,,
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,81,58,38,109,11.16,220.48,231.64,0.716049383,0.469135802,1.345679012,0.050616836
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,102,67,48,,14.26,186.88,201.14,0.656862745,0.470588235,,0.076305651
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,101,61,40,93.8,19.08,148.25,167.33,0.603960396,0.396039604,0.928712871,0.128701518
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,80,45,55,66.8,10.63,191.61,202.24,0.5625,0.6875,0.835,0.055477272
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,93,67,47,70,14.88,195.4,210.28,0.720430108,0.505376344,0.752688172,0.076151484
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,87,59,49,77.6,4.18,181.07,185.25,0.67816092,0.563218391,0.891954023,0.023084995
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,82,61,41,58.2,12.59,203.56,216.15,0.743902439,0.5,0.709756098,0.061849086
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,98,73,36,69.6,14.19,127.93,142.12,0.744897959,0.367346939,0.710204082,0.110920034
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,90,71,42,93.4,14.29,140.21,154.5,0.788888889,0.466666667,1.037777778,0.101918551
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,81,62,35,69.2,15.87,109.45,125.32,0.765432099,0.432098765,0.854320988,0.144997716
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,76,62,32,65,9.39,118.97,128.36,0.815789474,0.421052632,0.855263158,0.078927461
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,85,63,44,97.8,12.71,179.23,191.94,0.741176471,0.517647059,1.150588235,0.070914467
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,81,56,39,79.6,12.68,147.68,160.36,0.691358025,0.481481481,0.982716049,0.085861322
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,70,46,37,39.4,6.89,86.57,93.46,0.657142857,0.528571429,0.562857143,0.079588772
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,70,56,33,37.4,5.79,64.02,69.81,0.8,0.471428571,0.534285714,0.090440487
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,60,43,29,29.6,6.09,49.62,55.71,0.716666667,0.483333333,0.493333333,0.122732769
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,74,50,22,27.8,7.33,45.64,52.97,0.675675676,0.297297297,0.375675676,0.160604733
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,46,40,20,16.2,3.17,27.81,30.98,0.869565217,0.434782609,0.352173913,0.113987774
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,55,44,24,23.6,4.7,40.48,45.18,0.8,0.436363636,0.429090909,0.116106719
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,51,50,23,20,3.08,35.88,38.96,0.980392157,0.450980392,0.392156863,0.085841695
Northern,TX-Upper,Sabine Lake,29.784167,-93.91611111,Subtidal,Yes,,55,40,21,15.2,4.3,27.84,32.14,0.727272727,0.381818182,0.276363636,0.154454023
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,89,63,32,83,16.37,148.93,165.3,0.707865169,0.359550562,0.93258427,0.109917411
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,78,64,32,68,12.08,135.57,147.65,0.820512821,0.41025641,0.871794872,0.089105259
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,84,62,34,83.6,15.82,151.26,167.08,0.738095238,0.404761905,0.995238095,0.104588126
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,92,63,45,93.2,14.04,181.72,195.76,0.684782609,0.489130435,1.013043478,0.077261721
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,75,65,36,63.6,12.35,113.22,125.57,0.866666667,0.48,0.848,0.109079668
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,78,58,40,73.4,13.1,146.23,159.33,0.743589744,0.512820513,0.941025641,0.0895849
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,81,62,37,69.8,12.08,132.19,144.27,0.765432099,0.456790123,0.861728395,0.091383614
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,73,61,35,62,11.47,123.29,134.76,0.835616438,0.479452055,0.849315068,0.093032687
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,77,65,29,59.8,14.51,103.74,118.25,0.844155844,0.376623377,0.776623377,0.139868903
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,75,59,30,55.8,12,103.65,115.65,0.786666667,0.4,0.744,0.11577424
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,72,58,37,69.2,14.31,119.49,133.8,0.805555556,0.513888889,0.961111111,0.119758976
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,80,61,29,57.6,14.13,94.21,108.34,0.7625,0.3625,0.72,0.149984078
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,68,60,32,53.6,9.37,104.04,113.41,0.882352941,0.470588235,0.788235294,0.090061515
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,82,59,36,64.8,10.65,116.58,127.23,0.719512195,0.43902439,0.790243902,0.091353577
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,75,64,29,57.8,10.33,102.43,112.76,0.853333333,0.386666667,0.770666667,0.100849361
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,67,57,41,67.8,8.43,138.39,146.82,0.850746269,0.611940299,1.011940299,0.060914806
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,68,56,21,52.2,10.33,101.66,111.99,0.823529412,0.308823529,0.767647059,0.101613221
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,74,63,31,60.8,11.93,112.95,124.88,0.851351351,0.418918919,0.821621622,0.105621957
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,74,54,30,54.4,7.52,107.59,115.11,0.72972973,0.405405405,0.735135135,0.069894972
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,73,55,32,57.2,10.25,114.87,125.12,0.753424658,0.438356164,0.783561644,0.089231305
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,80,48,32,63.6,10.3,123,133.3,0.6,0.4,0.795,0.083739837
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,78,52,35,57.6,11.37,109.56,120.93,0.666666667,0.448717949,0.738461538,0.103778751
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,64,51,35,76.2,6.43,99.61,106.04,0.796875,0.546875,1.190625,0.064551752
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,68,51,28,37.8,6.31,71.46,77.77,0.75,0.411764706,0.555882353,0.088301147
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,67,39,28,27.8,4.22,55.46,59.68,0.582089552,0.417910448,0.414925373,0.076090876
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,56,43,21,23.8,4.63,43.12,47.75,0.767857143,0.375,0.425,0.107374768
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,50,41,23,24.6,4.23,46.64,50.87,0.82,0.46,0.492,0.090694683
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,54,44,23,27.4,4.3,52.65,56.95,0.814814815,0.425925926,0.507407407,0.081671415
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,45,48,20,16,2.41,32.72,35.13,1.066666667,0.444444444,0.355555556,0.073655257
Northern,LA,Sister Lake,29.23942972,-90.9115,Subtidal,Yes,,51,42,20,14.4,2.62,25.9,28.52,0.823529412,0.392156863,0.282352941,0.101158301
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,109,62,46,100,12.85,164.22,177.07,0.568807339,0.422018349,0.917431193,0.078248691
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,125,64,33,88.4,11.86,160.47,172.33,0.512,0.264,0.7072,0.073907896
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,104,61,45,100,11.77,177.65,189.42,0.586538462,0.432692308,0.961538462,0.06625387
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,106,66,28,80.2,10.53,131.19,141.72,0.622641509,0.264150943,0.756603774,0.080265264
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,106,64,35,88,13.24,130.83,144.07,0.603773585,0.330188679,0.830188679,0.101200031
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,114,51,29,78.8,10.51,129.4,139.91,0.447368421,0.254385965,0.69122807,0.08122102
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,107,58,36,74.2,11.25,117.26,128.51,0.542056075,0.336448598,0.693457944,0.095940645
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,95,49,28,50,9.93,78.46,88.39,0.515789474,0.294736842,0.526315789,0.126561305
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,79,61,28,44.2,7.73,64.53,72.26,0.772151899,0.35443038,0.559493671,0.119789245
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,97,49,31,62,9.54,99.32,108.86,0.505154639,0.319587629,0.639175258,0.096053161
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,90,44,39,72.6,7.25,126.77,134.02,0.488888889,0.433333333,0.806666667,0.057190187
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,71,58,26,38.2,8.25,67.54,75.79,0.816901408,0.366197183,0.538028169,0.122149837
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,90,48,15,24.2,4.36,41.67,46.03,0.533333333,0.166666667,0.268888889,0.104631629
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,94,55,23,40,7.22,64.65,71.87,0.585106383,0.244680851,0.425531915,0.111678268
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,95,56,22,41.8,7.76,64.29,72.05,0.589473684,0.231578947,0.44,0.120703064
Northern,TX-Upper,Matagorda Bay,28.64166667,-96.32333333,Intertidal,Yes,,90,52,26,40.4,8.04,62.69,70.73,0.577777778,0.288888889,0.448888889,0.12825012
